dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
har,flame_hdbscan,137,26,90,0,0.36666666666666664,0.18052256532066507,72,18,18,15,0.27675638330621044,0.48848489194730854,-0.01930694196512394,0.16889974056716367,0.1001031991744066,0.1867654168989334,0.3076776165011459,0.691699604743083
har,flame_hdbscan,137,27,90,0,0.3333333333333333,0.17373600271462505,73,18,17,12,0.2645280418532078,0.3733053399888046,0.18203263367324837,0.10056003046102654,-0.21078431372549022,-0.10540925533894599,0.45368885324779473,0.6273291925465838
har,flame_hdbscan,137,28,90,0,0.32222222222222224,0.18052256532066507,72,16,18,13,0.27815854652204147,0.4185584710792434,-0.04423738376543087,0.1077998937771795,0.0196078431372549,-0.10758338314815298,0.4419279907084785,0.6047430830039525
har,flame_hdbscan,137,29,90,0,0.3333333333333333,0.1818798778418731,72,16,18,14,0.28559354643119583,0.45584800008367526,0.1536318707199277,0.19756594844831035,-0.15170278637770898,-0.2318130375700193,0.3928135356706785,0.6521739130434783
har,flame_hdbscan,2024,0,90,0,0.4222222222222222,0.31014591109602985,68,29,22,9,-0.03722050923798113,-0.002870595844424768,-0.4867941850245425,-0.10504461503677524,0.2749858836815359,0.15300774894579097,0.5399731273093719,0.0757575757575758
har,flame_hdbscan,2024,1,90,0,0.4222222222222222,0.2181879877841873,67,28,23,10,-0.02501228414536409,0.025984586648285592,-0.6291236946807324,-0.16497313907440014,0.17391304347826086,0.13222147133698628,0.5477001703577513,0.07114624505928852
har,flame_hdbscan,2024,2,90,0,0.4444444444444444,0.18968442483881914,66,28,24,12,0.10030083067730688,0.07078175669428148,-0.37066527040253383,-0.11943507156464823,0.3565217391304348,0.04815434123430768,0.5126728110599078,0.16666666666666669
har,flame_hdbscan,2024,3,90,0,0.43333333333333335,0.1991856124872752,67,27,23,12,0.2507994296464953,0.106413288317469,0.03727028776181862,-0.08641535382225014,0.10177865612648221,0.03936479108111085,0.5102414654454621,0.21739130434782605
har,flame_hdbscan,2024,4,90,0,0.43333333333333335,0.2931795045809298,68,28,22,11,0.1651237137103163,0.07152998583677127,0.19711799476317196,-0.14360375587647542,-0.007340485601355168,-0.050152480397033676,0.5406698564593302,0.19565217391304346
har,flame_hdbscan,2024,5,90,0,0.45555555555555555,0.32813030200203597,66,29,24,12,0.15468729818154728,0.06510560876164202,0.19266037654879262,-0.1025019729250917,0.10869565217391304,0.13242443839434612,0.47747589833479404,0.18181818181818182
har,flame_hdbscan,2024,6,90,0,0.4222222222222222,0.3505259586019681,68,27,22,11,0.1703957095935846,0.09128494785270762,0.2111577310695603,-0.14395245670867107,-0.07509881422924902,0.03582320028359549,0.5192595362752431,0.19565217391304346
har,flame_hdbscan,2024,7,90,0,0.43333333333333335,0.3505259586019681,69,29,21,10,0.1609265344060873,0.05647434868010585,0.22753246879859645,-0.12261713512054402,0.02727272727272727,0.12596733145955472,0.4967195767195767,0.11255411255411252
har,flame_hdbscan,2024,8,90,0,0.4222222222222222,0.3505259586019681,66,27,24,11,0.14212192996003084,0.04395011201637986,0.24957925852953847,-0.10560711600952966,-0.004347826086956522,0.006040302465651719,0.5637383833070314,0.11050724637681159
