dataset,scenario,mode,seed,round,gate_reason,layer,density_gap,alert,l0_guard,l0_rejected,threshold,max_distance_over_threshold,malicious_max_distance_over_threshold,distance_auc,constraint_ratio
fashion_mnist,cut_gaussian,attacked,137,21,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0600408911705017,1884.94591823739,1884.94591823739,1.0,
fashion_mnist,cut_gaussian,attacked,137,22,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.1040205135941505,1810.1784310036924,1810.1784310036924,1.0,
fashion_mnist,cut_gaussian,attacked,137,23,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0637886449694633,1880.6470358324714,1880.6470358324714,1.0,
fashion_mnist,cut_gaussian,attacked,137,24,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.06648288667202,1871.3121767354978,1871.3121767354978,1.0,
fashion_mnist,cut_gaussian,attacked,137,25,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0027000680565834,1994.2706070751533,1994.2706070751533,1.0,
fashion_mnist,cut_gaussian,attacked,137,26,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0608495399355888,1886.397307521873,1886.397307521873,1.0,
fashion_mnist,cut_gaussian,attacked,137,27,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,0.9907970204949379,2015.774150656261,2015.774150656261,1.0,
fashion_mnist,cut_gaussian,attacked,137,28,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0550058260560036,1893.7295914487863,1893.7295914487863,1.0,
fashion_mnist,cut_gaussian,attacked,137,29,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.011272557079792,1975.9871685334574,1975.9871685334574,1.0,
fashion_mnist,cut_gaussian,attacked,2024,0,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.7695070803165436,1130.2592983673799,1130.2592983673799,1.0,
fashion_mnist,cut_gaussian,attacked,2024,1,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.480746865272522,1349.0081239602123,1349.0081239602123,1.0,
fashion_mnist,cut_gaussian,attacked,2024,2,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.2046226114034653,1659.599666529999,1659.599666529999,1.0,
fashion_mnist,cut_gaussian,attacked,2024,3,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.0997795313596725,1818.7339951904314,1818.7339951904314,1.0,
fashion_mnist,cut_gaussian,attacked,2024,4,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,20,0.9736599773168564,2051.965191525747,2051.965191525747,1.0,
fashion_mnist,cut_gaussian,attacked,2024,5,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,1.059001088142395,1888.0292675953124,1888.0292675953124,1.0,
fashion_mnist,cut_gaussian,attacked,2024,6,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,18,0.9719491377472878,2058.4906053649056,2058.4906053649056,1.0,
fashion_mnist,cut_gaussian,attacked,2024,7,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,20,0.9350148215889931,2137.733361844301,2137.733361844301,1.0,
fashion_mnist,cut_gaussian,attacked,2024,8,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.8950547128915787,2236.5435638618487,2236.5435638618487,1.0,
fashion_mnist,cut_gaussian,attacked,2024,9,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.8562164008617401,2333.461489450608,2333.461489450608,1.0,
fashion_mnist,cut_gaussian,attacked,2024,10,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.8563857525587082,2334.860919862731,2334.860919862731,1.0,
fashion_mnist,cut_gaussian,attacked,2024,11,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,21,0.8580690994858742,2327.7074812522933,2327.7074812522933,1.0,
fashion_mnist,cut_gaussian,attacked,2024,12,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.82813810557127,2419.2997143205835,2419.2997143205835,1.0,
fashion_mnist,cut_gaussian,attacked,2024,13,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.849246010184288,2355.243364451479,2355.243364451479,1.0,
fashion_mnist,cut_gaussian,attacked,2024,14,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.8326734229922295,2404.1874026766486,2404.1874026766486,1.0,
fashion_mnist,cut_gaussian,attacked,2024,15,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.8461820334196091,2361.7902976799955,2361.7902976799955,1.0,
fashion_mnist,cut_gaussian,attacked,2024,16,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,20,0.8087809011340141,2475.5441785966977,2475.5441785966977,1.0,
fashion_mnist,cut_gaussian,attacked,2024,17,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,20,0.837155319750309,2387.741090680995,2387.741090680995,1.0,
fashion_mnist,cut_gaussian,attacked,2024,18,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.8188384026288986,2442.6829411452663,2442.6829411452663,1.0,
fashion_mnist,cut_gaussian,attacked,2024,19,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,22,0.8142362907528877,2457.4612115511427,2457.4612115511427,1.0,
fashion_mnist,cut_gaussian,attacked,2024,20,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,21,0.7857397198677063,2540.9161950385073,2540.9161950385073,1.0,
fashion_mnist,cut_gaussian,attacked,2024,21,density_gap+l0_outlier_support,L0+L2_SNNC,1,1,False,23,0.8063370361924171,2480.4398990341624,2480.4398990341624,1.0,
