dataset,seed,round,arm,client,group,samples,stage,norm,l0_distance,l0_threshold,margin,distance_threshold_ratio,unique_examples
mnist,137,9,A,33,floor,20,accepted,0.09285062551498413,0.10115799307823181,0.4088861495256424,-0.3077281564474106,0.24739892313688633,20
mnist,137,9,A,34,above,33,L0_rejected,1.279131293296814,1.2607524394989014,0.4088861495256424,0.851866289973259,3.083382601639912,33
mnist,137,9,A,35,above,242,L0_rejected,1.1266409158706665,1.1089476346969604,0.4088861495256424,0.700061485171318,2.7121183634698176,160
mnist,137,9,A,36,above,91,L0_rejected,1.1969025135040283,1.183246374130249,0.4088861495256424,0.7743602246046066,2.8938284544559862,91
mnist,137,9,A,37,above,505,L0_rejected,1.370469570159912,1.3569401502609253,0.4088861495256424,0.9480540007352829,3.318625861587977,160
mnist,137,9,A,38,floor,20,accepted,0.11888587474822998,0.12365591526031494,0.4088861495256424,-0.28523023426532745,0.3024213840546343,20
mnist,137,9,A,39,above,2300,L0_rejected,1.0875234603881836,1.0687065124511719,0.4088861495256424,0.6598203629255295,2.6137019160247936,160
mnist,137,9,A,40,above,177,accepted,0.06569784879684448,0.07838454097509384,0.4088861495256424,-0.33050160855054855,0.1917026073542218,160
mnist,137,9,A,41,floor,20,accepted,0.0331253781914711,0.04690178111195564,0.4088861495256424,-0.36198436841368675,0.11470621141451577,20
mnist,137,9,A,42,floor,20,accepted,0.048051148653030396,0.05396079644560814,0.4088861495256424,-0.35492535308003426,0.13197022327170832,20
mnist,137,9,A,43,floor,20,L0_rejected,0.763560950756073,0.7450610995292664,0.4088861495256424,0.33617495000362396,1.822172505460573,20
mnist,137,9,A,44,floor,20,accepted,0.2849951684474945,0.2758671045303345,0.4088861495256424,-0.13301904499530792,0.6746795039410697,20
mnist,137,9,A,45,floor,20,L0_rejected,1.118895411491394,1.098688006401062,0.4088861495256424,0.6898018568754196,2.6870267131221577,20
mnist,137,9,A,47,floor,20,accepted,0.1272987723350525,0.12301182001829147,0.4088861495256424,-0.2858743295073509,0.3008461405723821,20
mnist,137,9,A,48,above,1297,L0_rejected,0.566849946975708,0.5469397306442261,0.4088861495256424,0.13805358111858368,1.3376333027634772,160
mnist,137,9,A,49,floor,20,accepted,0.059031493961811066,0.07045841217041016,0.4088861495256424,-0.33842773735523224,0.17231792334406648,20
mnist,137,9,A,50,floor,20,accepted,0.19530266523361206,0.1931750327348709,0.4088861495256424,-0.21571111679077148,0.472442103893657,20
mnist,137,9,A,51,floor,20,accepted,0.08860999345779419,0.09718286991119385,0.4088861495256424,-0.31170327961444855,0.2376770893901341,20
mnist,137,9,A,52,floor,20,accepted,0.07482074946165085,0.07629375904798508,0.4088861495256424,-0.3325923904776573,0.18658924773190558,20
mnist,137,9,A,53,above,27,L0_rejected,1.4498534202575684,1.4363657236099243,0.4088861495256424,1.027479574084282,3.5128744890876913,27
mnist,137,9,A,54,floor,20,accepted,0.13411931693553925,0.13745395839214325,0.4088861495256424,-0.27143219113349915,0.3361668243143147,20
mnist,137,9,A,55,above,1013,L0_rejected,1.1259530782699585,1.1070321798324585,0.4088861495256424,0.6981460303068161,2.707433795732016,160
mnist,137,9,A,56,above,4874,L0_rejected,0.6197279095649719,0.5978268384933472,0.4088861495256424,0.18894068896770477,1.462086302475393,160
mnist,137,9,A,57,floor,20,accepted,0.050448816269636154,0.05973680689930916,0.4088861495256424,-0.34914934262633324,0.14609643043329082,20
mnist,137,9,A,59,floor,20,accepted,0.0422908253967762,0.05540059134364128,0.4088861495256424,-0.3534855581820011,0.13549148438486533,20
mnist,137,9,A,60,floor,20,accepted,0.0602223239839077,0.07406622916460037,0.4088861495256424,-0.334819920361042,0.18114144793245307,20
mnist,137,9,A,61,floor,20,accepted,0.02822873555123806,0.04318873584270477,0.4088861495256424,-0.3656974136829376,0.10562533334232269,20
mnist,137,9,A,63,floor,20,L0_rejected,0.7375478744506836,0.7210178971290588,0.4088861495256424,0.31213174760341644,1.7633708012989122,20
mnist,137,9,A,64,floor,20,accepted,0.04158775135874748,0.05710631236433983,0.4088861495256424,-0.35177983716130257,0.1396631126551733,20
mnist,137,9,A,65,above,29,accepted,0.07633845508098602,0.08802258223295212,0.4088861495256424,-0.3208635672926903,0.2152740618264253,29
mnist,137,9,A,66,above,366,L0_rejected,1.1461700201034546,1.1318284273147583,0.4088861495256424,0.7229422777891159,2.7680771985742654,160
mnist,137,9,A,67,floor,20,accepted,0.040624815970659256,0.05481928959488869,0.4088861495256424,-0.3540668599307537,0.13406981297479928,20
mnist,137,9,A,68,floor,20,accepted,0.021493349224328995,0.040232300758361816,0.4088861495256424,-0.3686538487672806,0.09839487301058296,20
mnist,137,9,A,69,above,2867,L0_rejected,1.269538164138794,1.2561414241790771,0.4088861495256424,0.8472552746534348,3.0721055864483398,160
mnist,137,9,A,70,above,25,L0_rejected,1.1769986152648926,1.1571815013885498,0.4088861495256424,0.7482953518629074,2.8300824147039974,25
mnist,137,9,A,71,floor,20,accepted,0.1058042123913765,0.10655631870031357,0.4088861495256424,-0.3023298308253288,0.26060143838066374,20
mnist,137,9,A,72,floor,20,accepted,0.03443877398967743,0.04651080071926117,0.4088861495256424,-0.3623753488063812,0.11375000296101824,20
mnist,137,9,A,73,above,169,L0_rejected,1.1201486587524414,1.1006478071212769,0.4088861495256424,0.6917616575956345,2.6918197361249874,160
mnist,137,9,A,75,floor,20,accepted,0.1943018138408661,0.18144771456718445,0.4088861495256424,-0.22743843495845795,0.44376097057258074,20
mnist,137,9,A,76,floor,20,accepted,0.24858590960502625,0.2339027374982834,0.4088861495256424,-0.174983412027359,0.5720485709032672,20
mnist,137,9,A,77,floor,20,accepted,0.03678581118583679,0.0474308542907238,0.4088861495256424,-0.3614552952349186,0.11600014905310281,20
mnist,137,9,A,78,above,38,L0_rejected,0.5456315279006958,0.5283268690109253,0.4088861495256424,0.1194407194852829,1.2921124122786958,38
mnist,137,9,A,79,above,5435,accepted,0.044336043298244476,0.05565214902162552,0.4088861495256424,-0.3532340005040169,0.13610671108862155,160
mnist,137,9,A,80,above,257,L0_rejected,1.2865474224090576,1.2716909646987915,0.4088861495256424,0.8628048151731491,3.110134608800292,160
mnist,137,9,A,81,floor,20,accepted,0.09052818268537521,0.10010778158903122,0.4088861495256424,-0.3087783679366112,0.24483045391771868,20
mnist,137,9,A,82,above,109,accepted,0.05757518112659454,0.07194274663925171,0.4088861495256424,-0.3369434028863907,0.17594811348516948,109
mnist,137,9,A,83,above,51,L0_rejected,1.326150894165039,1.3122966289520264,0.4088861495256424,0.903410479426384,3.209442605171268,51
mnist,137,9,A,84,above,171,L0_rejected,1.2971397638320923,1.283526062965393,0.4088861495256424,0.8746399134397507,3.139079336520543,160
mnist,137,9,A,86,above,1497,L0_rejected,0.779050350189209,0.7637633681297302,0.4088861495256424,0.35487721860408783,1.867912055753878,160
mnist,137,9,A,87,floor,20,accepted,0.019468003883957863,0.04027959331870079,0.4088861495256424,-0.3686065562069416,0.0985105349384664,20
mnist,137,9,A,88,above,2129,L0_rejected,1.0754954814910889,1.0583298206329346,0.4088861495256424,0.6494436711072922,2.588323967101174,160
mnist,137,9,A,89,floor,20,accepted,0.04953246936202049,0.0663609653711319,0.4088861495256424,-0.3425251841545105,0.16229692653595304,20
mnist,137,9,A,90,floor,20,accepted,0.14962996542453766,0.14005497097969055,0.4088861495256424,-0.26883117854595184,0.3425280390205717,20
mnist,137,9,A,91,above,476,L0_rejected,1.0973584651947021,1.080001950263977,0.4088861495256424,0.6711158007383347,2.6413268131407985,160
mnist,137,9,A,92,above,3674,L0_rejected,1.4130841493606567,1.3996812105178833,0.4088861495256424,0.9907950609922409,3.4231563288257223,160
mnist,137,9,A,93,floor,20,accepted,0.048925649374723434,0.06352124363183975,0.4088861495256424,-0.34536490589380264,0.15535190836258972,20
mnist,137,9,A,94,above,22,accepted,0.22376450896263123,0.2134133130311966,0.4088861495256424,-0.1954728364944458,0.5219382296973912,22
mnist,137,9,A,95,floor,20,accepted,0.15699440240859985,0.14566119015216827,0.4088861495256424,-0.2632249593734741,0.3562389929841178,20
mnist,137,9,A,96,floor,20,accepted,0.03451436012983322,0.04415656998753548,0.4088861495256424,-0.3647295795381069,0.10799233488041221,20
mnist,137,9,A,97,above,4171,L0_rejected,1.330278992652893,1.3162331581115723,0.4088861495256424,0.9073470085859299,3.219070050767341,160
mnist,137,9,A,98,above,48,L0_rejected,1.1608970165252686,1.148014783859253,0.4088861495256424,0.7391286343336105,2.8076636618557256,48
mnist,137,9,A,99,above,277,L0_rejected,1.2177706956863403,1.2041319608688354,0.4088861495256424,0.795245811343193,2.9449076772734286,160
mnist,137,9,B,0,floor,20,accepted,0.03710588440299034,0.045258067548274994,0.41191764175891876,-0.36665957421064377,0.10987164170735611,20
mnist,137,9,B,1,above,562,L0_rejected,1.3263490200042725,1.3144086599349976,0.41191764175891876,0.9024910181760788,3.190950148001371,98
mnist,137,9,B,2,above,422,accepted,0.1523047238588333,0.14798635244369507,0.41191764175891876,-0.2639312893152237,0.35926199181900154,91
mnist,137,9,B,3,floor,20,L0_rejected,0.6535359025001526,0.6365912556648254,0.41191764175891876,0.22467361390590668,1.5454333369809892,20
mnist,137,9,B,5,floor,20,accepted,0.10900512337684631,0.1171000599861145,0.41191764175891876,-0.29481758177280426,0.28428027380931925,20
mnist,137,9,B,6,floor,20,accepted,0.046717569231987,0.05300655588507652,0.41191764175891876,-0.35891108587384224,0.12868241248113244,20
mnist,137,9,B,7,floor,20,accepted,0.08730001747608185,0.0878559947013855,0.41191764175891876,-0.32406164705753326,0.2132853410362176,20
mnist,137,9,B,8,floor,20,accepted,0.06527606397867203,0.07383062690496445,0.41191764175891876,-0.3380870148539543,0.17923637984938498,20
mnist,137,9,B,9,above,1661,L0_rejected,1.3652288913726807,1.3528870344161987,0.41191764175891876,0.94096939265728,3.2843629339089997,98
mnist,137,9,B,10,above,102,L0_rejected,1.289382815361023,1.2761356830596924,0.41191764175891876,0.8642180413007736,3.0980359996491016,63
mnist,137,9,B,11,above,380,L0_rejected,1.1201599836349487,1.1016559600830078,0.41191764175891876,0.689738318324089,2.674456853508035,83
mnist,137,9,B,12,floor,20,accepted,0.05341954901814461,0.06199662387371063,0.41191764175891876,-0.34992101788520813,0.1505073286227326,20
mnist,137,9,B,13,floor,20,L0_rejected,0.7044016122817993,0.6855905055999756,0.41191764175891876,0.2736728638410568,1.6643873340128224,20
mnist,137,9,B,15,floor,20,accepted,0.1272825002670288,0.13524721562862396,0.41191764175891876,-0.2766704261302948,0.3283355746821339,20
mnist,137,9,B,16,above,303,L0_rejected,1.1650944948196411,1.153408408164978,0.41191764175891876,0.7414907664060593,2.8000947064074238,83
mnist,137,9,B,18,above,1463,L0_rejected,1.2714842557907104,1.2582794427871704,0.41191764175891876,0.8463618010282516,3.054686945220953,97
