reference,dataset,scenario,mode,seed,round,alpha,auc,honest_min,honest_max,honest_median,attacker_min,attacker_max,attacker_median,duplicate_honest,duplicate_attackers,constraint_bound,max_constraint_ratio,strict_violations,tolerance_violations,attackers
13,fashion_mnist,cut_backdoor,attacked,2024,9,0.0,0.283179012345679,0.4269931381939408,0.8999046850105167,0.735917764170869,0.41005884585351904,0.8400553321452644,0.6663938136971124,0,0,,,,,18
13,fashion_mnist,cut_backdoor,attacked,2024,29,0.0,0.37808641975308643,0.36061185561691617,0.9417732844631805,0.6870637474486991,0.443829447450233,0.8278988210696949,0.6522693240819535,0,0,,,,,18
14,fashion_mnist,cut_backdoor,attacked,42,0,0.0,0.3842592592592593,0.6377112530023397,0.9583659183179035,0.8008051577868139,0.5967734283700598,0.8506681772413025,0.792859337106605,0,0,,,,,18
14,fashion_mnist,cut_backdoor,attacked,42,9,0.0,0.2222222222222222,0.49350986842585376,0.9106261923580277,0.7458340105687803,0.40999043253905826,0.8011717950357097,0.6286481263303323,0,0,,,,,18
14,fashion_mnist,cut_backdoor,attacked,42,29,0.0,0.30864197530864196,0.5175880913468422,0.9467999319549258,0.7257860331841599,0.43232106281106014,0.8040384309439847,0.6595647726087681,0,0,,,,,18
15,mnist,cut_backdoor,attacked,137,0,0.0,0.2955246913580247,0.6268203650998716,0.9593228069406423,0.8589419229571846,0.653652503253182,0.8883095864278273,0.8269133278832832,0,0,,,,,18
15,mnist,cut_backdoor,attacked,137,9,0.0,0.1875,0.5516842183681818,0.942041178286335,0.7766079201106308,0.5638736292883981,0.8089215606762528,0.6738149889942991,0,0,,,,,18
15,mnist,cut_backdoor,attacked,137,29,0.0,0.10339506172839505,0.5215625494978078,0.9069157604197938,0.7391957493371828,0.516180717304571,0.6848060200151243,0.6166665613825297,0,0,,,,,18
16,mnist,cut_backdoor,attacked,2024,0,0.0,0.42515432098765427,0.5132466022328865,0.9160703518189018,0.7819965957444361,0.5591871694286745,0.9165198602056124,0.7712072291178033,0,0,,,,,18
16,mnist,cut_backdoor,attacked,2024,9,0.0,0.25385802469135804,0.5024449629908152,0.8920116868831549,0.7240051577353059,0.5186445868941498,0.8003673816888133,0.6367044507899353,0,0,,,,,18
