reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
1,fashion_mnist,cut_minmax,attacked,2024,29,1e-06,0.999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,1e-06,0.9999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0001,0.95,18,46,72,18,31,42,15,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0001,0.99,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0001,0.999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.0001,0.9999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.01,0.95,18,46,72,18,31,42,15,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.01,0.99,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.01,0.999,18,0,72,18,0,42,0,30
1,fashion_mnist,cut_minmax,attacked,2024,29,0.01,0.9999,18,0,72,18,0,42,0,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0,0.95,18,42,72,18,39,42,3,30
2,fashion_mnist,cut_minmax,attacked,42,0,0.0,0.99,18,0,72,18,0,42,0,30
