ref,round,root,variant,clients,cosine_max_gap,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_max_gap,aggregate_relative_gap,aggregate_cosine,zero_trust_clients,clients_the_local_rule_removes
ref_01,0,small,fltrust,90,9.7612757876675e-07,9.7612757876675e-07,3.7923531794048504e-08,4.427885003099874e-10,3.38718534470539e-09,2.3658115284718492e-07,0.9999999999999727,28,28
ref_01,0,large,fltrust_normalized,90,9.732039810694815e-07,9.732039810694815e-07,3.7923531794048504e-08,3.2605933508733642e-09,2.4942460388754917e-08,2.365811528715886e-07,0.9999999999999725,28,28
ref_01,0,large,fltrust,90,9.732039810694815e-07,9.732039810694815e-07,3.7923531794048504e-08,1.1443250387980028,0.04722969730766116,0.5316111256335587,0.999797745808403,28,28
ref_01,0,unrelated,fltrust_normalized,90,4.5157586775826375e-09,1.6673616437187788e-09,1.3634335729872937e-08,1.652469161506076e-09,1.7401173384168356e-09,6.300099390937097e-08,0.9999999999999987,53,53
ref_01,0,unrelated,fltrust,90,4.5157586775826375e-09,1.6673616437187788e-09,1.3634335729872937e-08,0.2924913572768926,0.014956596605263765,0.3877536415105269,0.9883578071241679,53,53
ref_01,9,cohort_mean,fltrust_normalized,90,7.178446117528381e-07,7.178446117528381e-07,3.1652700727829997e-08,1.3874883464382037e-09,6.763956068855936e-09,1.9297657853850956e-07,0.9999999999999816,23,23
ref_01,9,cohort_mean,fltrust,90,7.178446117528381e-07,7.178446117528381e-07,3.1652700727829997e-08,0.17056790825756069,0.005238982127055789,0.1314883238408067,0.9958663101238124,23,23
ref_01,9,small,fltrust_normalized,90,7.193375818337344e-07,7.193375818337344e-07,3.1652700727829997e-08,5.000000413701855e-10,2.437482294129212e-09,1.9297657851042052e-07,0.9999999999999817,23,23
ref_01,9,small,fltrust,90,7.193375818337344e-07,7.193375818337344e-07,3.1652700727829997e-08,5.000000413701855e-10,2.437482294129212e-09,1.9297657851042052e-07,0.9999999999999817,23,23
ref_01,9,large,fltrust_normalized,90,7.173050652342639e-07,7.173050652342639e-07,3.165270074864668e-08,3.869843556714159e-09,1.8865348547225658e-08,1.9297657863381757e-07,0.9999999999999817,23,23
ref_01,9,large,fltrust,90,7.173050652342639e-07,7.173050652342639e-07,3.165270074864668e-08,1.2632722602842974,0.056272602496374974,0.6796190028966869,0.995371643738995,23,23
ref_01,9,unrelated,fltrust_normalized,90,4.231405176767511e-09,4.231405176767511e-09,2.827488338255635e-08,1.3874882354159013e-09,3.497601722135535e-09,7.90294384591521e-08,0.9999999999999976,36,36
ref_01,9,unrelated,fltrust,90,4.231405176767511e-09,4.231405176767511e-09,2.827488338255635e-08,0.1705679082575608,0.008378742699550721,0.1709980997568451,0.9941181328544672,36,36
ref_01,29,cohort_mean,fltrust_normalized,90,6.589440553206316e-07,6.589440553206316e-07,2.192263192160593e-08,1.3658810749106465e-09,6.796097823391634e-09,2.017179984988838e-07,0.9999999999999795,22,22
ref_01,29,cohort_mean,fltrust,90,6.589440553206316e-07,6.589440553206316e-07,2.192263192160593e-08,0.16447396340052317,0.005572136405622385,0.1327897654503638,0.9962056366527514,22,22
ref_01,29,small,fltrust_normalized,90,6.605624586208947e-07,6.605624586208947e-07,2.192263190772814e-08,5.000000691257611e-10,2.4878074669776318e-09,2.01717998469442e-07,0.9999999999999798,22,22
ref_01,29,small,fltrust,90,6.605624586208947e-07,6.605624586208947e-07,2.192263190772814e-08,5.000000691257611e-10,2.4878074669776318e-09,2.01717998469442e-07,0.9999999999999798,22,22
ref_01,29,large,fltrust_normalized,90,6.58341163806142e-07,6.58341163806142e-07,2.1922631928544822e-08,3.84885612270125e-09,1.9150425092928636e-08,2.0171799846437917e-07,0.9999999999999796,22,22
ref_01,29,large,fltrust,90,6.58341163806142e-07,6.58341163806142e-07,2.1922631928544822e-08,1.2806422161663504,0.06479977891851924,0.6844366685640761,0.995470360042052,22,22
ref_01,29,unrelated,fltrust_normalized,90,2.4693726421304296e-09,2.4693726421304296e-09,3.457264811934646e-08,1.3488863359611969e-09,2.4971036540616387e-09,1.2633065905347322e-07,0.9999999999999939,41,41
