method,dataset,scenario,seed,pair_matched,attackers,arm,clients,marked,auc_rel_mean,rho_rel_mean_samples,rho_rel_mean_steps,auc_lag1,oriented_lag1,rho_lag1_samples,rho_lag1_steps,auc_rel_cv,twosided_rel_cv,rho_rel_cv_samples,rho_rel_cv_steps,auc_trend,twosided_trend,rho_trend_samples,rho_trend_steps
fed_mdbscan_g,mnist,backdoor,137,True,18,attacked,100,18,0.37466124661246614,-0.12145999322796676,,0.5399728997289973,0.4600271002710027,-0.2514695704463014,,0.6050135501355014,0.1050135501355014,0.15558329583650568,,0.6673441734417345,0.16734417344173447,0.008053723549183824,
fed_mdbscan_g,mnist,backdoor,137,True,18,placebo,100,18,0.5067750677506775,-0.0922217360509,,0.5020325203252033,0.49796747967479676,-0.2401713982401912,,0.4505420054200542,0.04945799457994582,0.2744927432310871,,0.5304878048780488,0.030487804878048808,-0.0029046216079023626,
fed_mdbscan_g,mnist,backdoor,2024,True,18,attacked,100,18,0.38482384823848237,0.019167009251594196,,0.6585365853658537,0.34146341463414637,-0.2939261468826186,,0.6836043360433605,0.18360433604336046,0.13490718064655263,,0.6734417344173442,0.17344173441734423,-0.027034244420298014,
fed_mdbscan_g,mnist,backdoor,2024,True,18,placebo,100,18,0.5176151761517616,0.02249753214910039,,0.6246612466124661,0.37533875338753386,-0.27147825130807823,,0.5630081300813008,0.0630081300813008,0.20666644696795633,,0.5196476964769647,0.019647696476964738,-0.007327150374513623,
fed_mdbscan_g,fashion_mnist,minmax,42,True,18,attacked,100,18,0.7926829268292683,0.5277508349455384,,0.8292682926829268,0.17073170731707318,-0.08711310299429616,,0.9634146341463414,0.46341463414634143,-0.3427280143271945,,0.9878048780487805,0.4878048780487805,0.4030016653929236,
fed_mdbscan_g,fashion_mnist,minmax,42,True,18,placebo,100,18,0.40447154471544716,0.7073444378799301,,0.5348915989159891,0.46510840108401086,-0.13476046176347248,,0.5691056910569106,0.06910569105691056,-0.050451434059061266,,0.3800813008130081,0.11991869918699188,0.5996909941091293,
fed_mdbscan_g,fashion_mnist,minmax,137,True,18,attacked,100,18,0.6707317073170732,0.5480281348503009,,0.4146341463414634,0.5853658536585366,-0.513472170253521,,0.573170731707317,0.07317073170731703,-0.47883622049417834,,1.0,0.5,0.10857428071669097,
fed_mdbscan_g,fashion_mnist,minmax,137,True,18,placebo,100,18,0.6388888888888888,0.5920003492153277,,0.5508130081300813,0.4491869918699187,0.424023395066316,,0.35636856368563685,0.14363143631436315,-0.052918324780726604,,0.6144986449864499,0.1144986449864499,-0.01514918670954786,
fed_mdbscan_g,fashion_mnist,minmax,2024,True,18,attacked,100,18,0.8414634146341463,0.4621694473765294,,0.6951219512195121,0.3048780487804878,-0.23122065587866955,,1.0,0.5,0.18614554154041746,,0.9512195121951219,0.4512195121951219,0.4028282496552871,
fed_mdbscan_g,fashion_mnist,minmax,2024,True,18,placebo,100,18,0.49796747967479676,0.5406412251761985,,0.5508130081300813,0.4491869918699187,0.10793475179196596,,0.5060975609756098,0.0060975609756097615,0.15107567039601136,,0.5271002710027101,0.027100271002710064,0.2660579921835287,
